Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Kat Cammack,Florida 3,Republican,yes,House of representatives,Kat_Cammack ; RepKatCammack,
Justin Waters,Florida 3,Republican,no,House of representatives,Waters4Congress,
Manuel P. Asensio,Florida 3,Republican,no,House of representatives,manuelpasensio,
Tony Hill,Florida 4,Democratic,no,House of representatives,NA,
Jonathan Marc,Florida 4,Democratic,no,House of representatives,NA,
Erick Aguilar,Florida 4,Republican,no,House of representatives,ErickAguilarJAX,
Jon Chuba,Florida 4,Republican,no,House of representatives,jontchuba,
Jason Fischer,Florida 4,Republican,no,House of representatives,JasonFischerFL,
Al Robertson,Florida 5,Democratic,no,House of representatives,AlDRobertson,
Leigha Garner-Lopez,Florida 5,Republican,no,House of representatives,RealLunaLopez,
John Rutherford,Florida 5,Republican,yes,House of representatives,RepRutherfordFL ; JRutherfordFL,
TBD,Florida 6,Democratic,no,House of representatives,NA,
Michael Waltz,Florida 6,Republican,yes,House of representatives,michaelgwaltz,
Allek Pastrana,Florida 7,Democratic,no,House of representatives,allekpastrana,
Al Krulick,Florida 7,Democratic,no,House of representatives,AlKrulick,
Erika Benfield,Florida 7,Republican,no,House of representatives,Erika_Benfield ; FLQINTDESIGN,
Mark Busch,Florida 7,Republican,no,House of representatives,NA,
Joe Cavagna,Florida 7,Republican,no,House of representatives,JoeCavagna,
Brady Duke,Florida 7,Republican,no,House of representatives,BradyDukeFL,
Jeremy Liggett,Florida 7,Republican,no,House of representatives,jeremy_liggett,
Cory Mills,Florida 7,Republican,no,House of representatives,CoryMillsFL,
Lee Ogilvie,Florida 7,Republican,no,House of representatives,LeeOgilvie,
Rusty Roberts,Florida 7,Republican,no,House of representatives,NA,
Anthony Sabatini,Florida 7,Republican,no,House of representatives,AnthonySabatini,
Scott Sturgill,Florida 7,Republican,no,House of representatives,Scott_Sturgill,
Joanne Terry,Florida 8,Democratic,no,House of representatives,Joanne4Congress,
Dena Grayson,Florida 8,Democratic,no,House of representatives,DenaForCongress ; DrDenaGrayson,
Perry Gregg,Florida 8,Democratic,no,House of representatives,NA,
Patrick Wells,Florida 8,Republican,no,House of representatives,pwells4fl8,
Bill Posey,Florida 8,Republican,yes,House of representatives,congbillposey,
Kevin Parker,Florida 9,Democratic,no,House of representatives,PoliticalKev90,
Hendrith Smith,Florida 9,Democratic,no,House of representatives,NA,
Darren Soto,Florida 9,Democratic,yes,House of representatives,DarrenSoto ; RepDarrenSoto,
Jose Castillo,Florida 9,Republican,no,House of representatives,JoseForFlorida,
Kenny Hartpence,Florida 9,Republican,no,House of representatives,NA,
Becky Hites,Florida 9,Republican,no,House of representatives,Hites4Congress,
Bill Olson,Florida 9,Republican,no,House of representatives,NA,
Sergio Ortiz,Florida 9,Republican,no,House of representatives,fl9congress,
George Shepherd III,Florida 9,Republican,no,House of representatives,GGShepherd3,
Alycia Barnard,Florida 9,Republican,no,House of representatives,AlyciaMBarnard,
Scotty Moore,Florida 9,Republican,no,House of representatives,scottyamoore,
Jack Joseph Achenbach,Florida 10,Democratic,no,House of representatives,JackAchenbach,
Randolph Bracy,Florida 10,Democratic,no,House of representatives,RandolphBracy,
Maxwell Frost,Florida 10,Democratic,no,House of representatives,MaxwellFrostFL,
Terence Gray,Florida 10,Democratic,no,House of representatives,TerenceGray4FL,
Natalie Jackson,Florida 10,Democratic,no,House of representatives,NatJacksonFL10,
Teresa Tachon,Florida 10,Democratic,no,House of representatives,TeresaTachon,
Eric Atkinson,Florida 10,Democratic,no,House of representatives,NA,
Willie Montague,Florida 10,Republican,no,House of representatives,RepMontague,
Carter Morgan,Florida 10,Republican,no,House of representatives,NA,
Angela Walls-Windhauser,Florida 10,Republican,no,House of representatives,NA,
Peter Weed,Florida 10,Republican,no,House of representatives,Weed4Congress,
William King,Florida 10,Republican,no,House of representatives,NA,
Troy Rambaransingh,Florida 10,Republican,no,House of representatives,NA,
Calvin Wimbish,Florida 10,Republican,no,House of representatives,cbwimbish,
TBD,Florida 11,Democratic,no,House of representatives,,
Al Deno,Florida 11,Republican,no,House of representatives,AJ77Deno,
Steve Edward Farley,Florida 11,Republican,no,House of representatives,NA,
Gavriel Soriano,Florida 11,Republican,no,House of representatives,gavsoriano,
Daniel Webster,Florida 11,Republican,yes,House of representatives,RepWebster ; WebsterCongress,
Laura Loomer,Florida 11,Republican,no,House of representatives,replauraloomer,
Kimberly Walker,Florida 12,Democratic,no,House of representatives,kw4congress,
Michael Carnevale,Florida 12,Republican,no,House of representatives,Mike_Carnevale_,
Michael Knezevich,Florida 12,Republican,no,House of representatives,NA,
Brian Perras,Florida 12,Republican,no,House of representatives,bperras12,
Christian Hotchkiss,Florida 13,Democratic,no,House of representatives,CHotchkissForFL,
Eric Lynn,Florida 13,Democratic,no,House of representatives,EricLynnFL,
Michele Rayner,Florida 13,Democratic,no,House of representatives,micheleforfl ; RepMKRG,
Kevin Hayslett,Florida 13,Republican,no,House of representatives,KevinHayslettFL,
Audrey Henson,Florida 13,Republican,no,House of representatives,AudreyHensonFL,
Anna Paulina Luna,Florida 13,Republican,no,House of representatives,VoteAPL,
Amanda Makki,Florida 13,Republican,no,House of representatives,amandamakki,
Moneer Kheireddine,Florida 13,Republican,no,House of representatives,NA,
Tony Eldon,Florida 14,Democratic,no,House of representatives,tonyforflorida,
Christopher Bradley,Florida 14,Democratic,no,House of representatives,CBradleyFL,
Kathy Castor,Florida 14,Democratic,yes,House of representatives,USRepKCastor ; KathyCastorFL,
Chris Chambers,Florida 14,Republican,no,House of representatives,NA,
James Judge,Florida 14,Republican,no,House of representatives,NA,
Christine Quinn,Florida 14,Republican,no,House of representatives,ElectQuinn,
Angel Salvador Urbina,Florida 14,Republican,no,House of representatives,realAngelUrbina,
Gavin Brown,Florida 15,Democratic,no,House of representatives,NA,
Eddie Geller,Florida 15,Democratic,no,House of representatives,gellered,
Jesse Philippe,Florida 15,Democratic,no,House of representatives,JesseP4Florida,
Jay Collins,Florida 15,Republican,no,House of representatives,JayCollinsFL,
Demetries Grimes,Florida 15,Republican,no,House of representatives,CDR_Grimes,
Kevin John McGovern,Florida 15,Republican,no,House of representatives,McGovern4FL,
Jackie Toledo,Florida 15,Republican,no,House of representatives,Toledo4Congress,
Dennis Ross,Florida 15,Republican,no,House of representatives,DennisRossSEU,
Benjamin Miranda-Padilla,Florida 16,Democratic,no,House of representatives,NA,
Jan Schneider,Florida 16,Democratic,no,House of representatives,NA,
Vern Buchanan,Florida 16,Republican,yes,House of representatives,VernBuchanan ,
Dan Lambert,Florida 17,Democratic,no,House of representatives,NA,
Greg Steube,Florida 17,Republican,yes,House of representatives,gregsteube ; RepGregSteube,
TBD,Florida 18,Democratic,no,House of representatives,NA,
Scott Franklin,Florida 18,Republican,yes,House of representatives,RepFranklin,
Cindy Banyai,Florida 19,Democratic,no,House of representatives,Cindy_Banyai_FL,
Byron Donalds,Florida 19,Republican,yes,House of representatives,ByronDonalds ; RepDonaldsPress,
Sheila Cherfilus-McCormick,Florida 20,Democratic,yes,House of representatives,CongresswomanSC ; Sheila4Congress,
Dale Holness,Florida 20,Democratic,no,House of representatives,HolnessD9,
Dwight Anderson,Florida 20,Democratic,no,House of representatives,NA,
Pradel Vilme,Florida 20,Democratic,no,House of representatives,NA,
Vic DeGrammont,Florida 20,Republican,no,House of representatives,votedegrammont,
Corinna Robinson,Florida 21,Democratic,no,House of representatives,CorinnaRobinson,
Melissa Martz,Florida 21,Republican,no,House of representatives,martz4congress,
Brian Mast,Florida 21,Republican,yes,House of representatives,BrianMastFL ; RepBrianMast,
Adam Aarons,Florida 22,Democratic,no,House of representatives,NA,
Rod Dorilás,Florida 22,Republican,no,House of representatives,roddorilas,
Keith Feit,Florida 22,Republican,no,House of representatives,feit2022,
Deborah Adeimy,Florida 22,Republican,no,House of representatives,DebAdeimy,
Peter Arianas,Florida 22,Republican,no,House of representatives,peter_arianas,
Jeffrey Buongiorno,Florida 22,Republican,no,House of representatives,JeffreyBuongio1,
Daniel John Franzese,Florida 22,Republican,no,House of representatives,danforfl,
Ljubo Skrbic,Florida 22,Republican,no,House of representatives,SkrbicLjubo,
Curtis Calabrese,Florida 23,Democratic,no,House of representatives,CurtisForFL,
Hava Holzhauer,Florida 23,Democratic,no,House of representatives,HavaHolzhauer,
Imtiaz Mohammad,Florida 23,Democratic,no,House of representatives,NA,
Jared Moskowitz,Florida 23,Democratic,no,House of representatives,JaredEMoskowitz,
Steve Chess,Florida 23,Republican,no,House of representatives,Chess4Congress,
James Pruden,Florida 23,Republican,no,House of representatives,JAMESPRUDEN13,
Darlene Swaffar,Florida 23,Republican,no,House of representatives,swaffarcongress,
Audrey Edmonson,Florida 24,Democratic,no,House of representatives,AudreyMEdmonson,
Christine Olivo,Florida 24,Democratic,no,House of representatives,Christinefor24,
Frederica Wilson,Florida 24,Democratic,yes,House of representatives,RepWilson,
Kevin Harris,Florida 24,Democratic,no,House of representatives,kevinforflorida,
Patricia Gonzalez,Florida 24,Republican,no,House of representatives,PatGforCongress,
Lavern Spicer,Florida 24,Republican,no,House of representatives,lavern_spicer,
Debbie Wasserman Schultz,Florida 25,Democratic,yes,House of representatives,DWStweets ; RepDWStweets,
Carla Spalding,Florida 25,Republican,no,House of representatives,CarlaSpaldingFL,
Saad Suleman,Florida 25,Republican,no,House of representatives,NA,
Rubin Young,Florida 25,Republican,no,House of representatives,NA,
Ian Medina,Florida 26,Democratic,no,House of representatives,NA,
Darren Aquino,Florida 26,Republican,no,House of representatives,aquino4congress,
Drew-Montez Clark,Florida 26,Republican,no,House of representatives,drewmontezclark,
Mario Díaz-Balart,Florida 26,Republican,yes,House of representatives,MarioDB ; MarioDBCamp,
Angel Montalvo,Florida 27,Democratic,no,House of representatives,MontalvoFL27,
Ken Russell,Florida 27,Democratic,no,House of representatives,kenforflorida,
Maria Elvira Salazar,Florida 27,Republican,yes,House of representatives,MaElviraSalazar ; RepMariaSalazar,
Juan Paredes,Florida 28,Democratic,no,House of representatives,Juan4Congress,
Carlos A. Giménez,Florida 28,Republican,yes,House of representatives,RepCarlos ; CarlosGimenezFL,
Jeremiah Schaffer,Florida 28,Republican,no,House of representatives,JSchafferFL26,
Joyce Griggs,Georgia 1,Democratic,no,House of representatives,JoyceGriggs2022,
Wade Herring,Georgia 1,Democratic,no,House of representatives,wadeherringga1,
Michelle Munroe,Georgia 1,Democratic,no,House of representatives,NA,
Buddy Carter,Georgia 1,Republican,yes,House of representatives,RepBuddyCarter ; Buddy_Carter,
Sanford Bishop,Georgia 2,Democratic,yes,House of representatives,Bishop4Congress ; SanfordBishop,
Joseph O'Hara,Georgia 2,Democratic,no,House of representatives,NA,
Vivian Childs,Georgia 2,Republican,no,House of representatives,VivianChilds,
Jeremy Hunt,Georgia 2,Republican,no,House of representatives,thejeremyhunt,
Wayne Johnson,Georgia 2,Republican,no,House of representatives,WayneJohnson4GA,
Rich Robertson,Georgia 2,Republican,no,House of representatives,NA,
Chris West,Georgia 2,Republican,no,House of representatives,ChrisWestGA,
Paul Whitehead,Georgia 2,Republican,no,House of representatives,NA,
Val Almonord,Georgia 3,Democratic,no,House of representatives,valforcongress3,
Drew Ferguson,Georgia 3,Republican,yes,House of representatives,RepDrewFerguson ; DrewFergusonGA,
Jared Benjamin Craig,Georgia 3,Republican,no,House of representatives,NA,
Hank Johnson,Georgia 4,Democratic,yes,House of representatives,RepHankJohnson,
Jonathan Chavez,Georgia 4,Republican,no,House of representatives,NA,
Surrea Ivy,Georgia 4,Republican,no,House of representatives,IvySurrea,
Nikema Williams,Georgia 5,Democratic,yes,House of representatives,NikemaWilliams ; RepNikema,
Valencia Stovall,Georgia 5,Democratic,no,House of representatives,ValenciaStovall,
Charlotte Macbagito,Georgia 5,Democratic,no,House of representatives,Charlotte4_D5,
Christian Zimm,Georgia 5,Republican,no,House of representatives,ChristianZimm_,
Bob Christian,Georgia 6,Democratic,no,House of representatives,ChristianForGA6,
Wayne White,Georgia 6,Democratic,no,House of representatives,NA,
Jake Evans,Georgia 6,Republican,no,House of representatives,JakeEvansGA,
Byron Gatewood,Georgia 6,Republican,no,House of representatives,GatewoodforGA,
Meagan Hanson,Georgia 6,Republican,no,House of representatives,HansonforHouse,
Blake Harbin,Georgia 6,Republican,no,House of representatives,BlakeHarbinGA,
Mary Mallory Staples,Georgia 6,Republican,no,House of representatives,StaplesCongress,
Rich McCormick,Georgia 6,Republican,no,House of representatives,RichforGA,
Paulette Smith,Georgia 6,Republican,no,House of representatives,paulett4321,
Suzi Voyles,Georgia 6,Republican,no,House of representatives,SuziVoyles,
Eugene Yu,Georgia 6,Republican,no,House of representatives,EugeneYuGA,
Carolyn Bourdeaux,Georgia 7,Democratic,yes,House of representatives,Carolyn4GA7 ; RepBourdeaux,
Lucy McBath,Georgia 7,Democratic,yes,House of representatives,lucymcbath ; RepLucyMcBath,
Donna McLeod,Georgia 7,Democratic,no,House of representatives,Donna4Congress,
Michael Corbin,Georgia 7,Republican,no,House of representatives,Corbin4Congress,
Mark Gonsalves,Georgia 7,Republican,no,House of representatives,MarkCongressGA7,
Lisa McCoy,Georgia 7,Republican,no,House of representatives,NA,
YG Nyghtstorm,Georgia 7,Republican,no,House of representatives,ygnyghtstorm,
Mary West,Georgia 7,Republican,no,House of representatives,marywestGA,
Darrius Butler,Georgia 8,Democratic,no,House of representatives,RevDButler,
Austin Scott,Georgia 8,Republican,yes,House of representatives,AustinScottGA08,
Michael Ford,Georgia 9,Democratic,no,House of representatives,Mike4Georgia,
Andrew Clyde,Georgia 9,Republican,yes,House of representatives,Rep_Clyde,
Michael Boggus,Georgia 9,Republican,no,House of representatives,MichaelBoggus4,
Gregory Howard,Georgia 9,Republican,no,House of representatives,NA,
Ben Souther,Georgia 9,Republican,no,House of representatives,ben_souther,
Jessica Fore,Georgia 10,Democratic,no,House of representatives,JessicaForeGA,
Phyllis Hatcher,Georgia 10,Democratic,no,House of representatives,phyllishatcher5,
Tabitha Johnson-Green,Georgia 10,Democratic,no,House of representatives,Tabitha57363624,
Femi Oduwole,Georgia 10,Democratic,no,House of representatives,FemiOduwole1,
Paul Walton,Georgia 10,Democratic,no,House of representatives,walton4congress,
Timothy Barr,Georgia 10,Republican,no,House of representatives,NA,
Paul Broun,Georgia 10,Republican,no,House of representatives,PaulBrounforGA,
Mike Collins,Georgia 10,Republican,no,House of representatives,MikeCollinsGA,
David Curry,Georgia 10,Republican,no,House of representatives,DavidCurryGA,
Vernon Jones,Georgia 10,Republican,no,House of representatives,VernonForGA,
Marc McMain,Georgia 10,Republican,no,House of representatives,NA,
Alan Sims,Georgia 10,Republican,no,House of representatives,AlanSimsGA,
Mitchell Swan,Georgia 10,Republican,no,House of representatives,swan4congress,
Antonio Daza-Fernandez,Georgia 11,Democratic,no,House of representatives,VoteDaza2022,
Barry Loudermilk,Georgia 11,Republican,yes,House of representatives,RepLoudermilk ; standwithbarry,
Elizabeth Johnson,Georgia 12,Democratic,no,House of representatives,lizjohnsonforus,
Rick W. Allen,Georgia 12,Republican,yes,House of representatives,RepRickAllen ; rickallen,
David Scott,Georgia 13,Democratic,yes,House of representatives,Electdavidscott ; repdavidscott,
Vincent Fort,Georgia 13,Democratic,no,House of representatives,fortforcongress,
Mark Baker,Georgia 13,Democratic,no,House of representatives,NA,
Shastity Driscoll,Georgia 13,Democratic,no,House of representatives,NA,
Caesar Gonzales,Georgia 13,Republican,no,House of representatives,Mechracer74,
Dominika Hawkins,Georgia 13,Republican,no,House of representatives,DominikaHawkins,
Calina Plotky,Georgia 13,Republican,no,House of representatives,CalinaPlotky,
Wendy Davis,Georgia 14,Democratic,no,House of representatives,WendyforUS,
Marcus Flowers,Georgia 14,Democratic,no,House of representatives,Marcus4Georgia,
Holly McCormack,Georgia 14,Democratic,no,House of representatives,Holly_4Congress,
Eric Cunningham,Georgia 14,Republican,no,House of representatives,EricBCunningham,
Marjorie Taylor Greene,Georgia 14,Republican,yes,House of representatives,RepMTG,
James Haygood,Georgia 14,Republican,no,House of representatives,JamesHAYGOOD123,
Charles Lutin,Georgia 14,Republican,no,House of representatives,CharlesDLutin,
Jennifer Strahan,Georgia 14,Republican,no,House of representatives,StrahanJennifer,
Seth Synstelien,Georgia 14,Republican,no,House of representatives,SethSynstelien,
Sergio Alcubilla,Hawaii 1,Democratic,no,House of representatives,sergio4hawaii,
Ed Case,Hawaii 1,Democratic,yes,House of representatives,RepEdCase,
Joseph Gilmore,Hawaii 1,Republican,no,House of representatives,NA,
Ron Curtis,Hawaii 1,Republican,no,House of representatives,rcurtis808,
Patrick Branco,Hawaii 2,Democratic,no,House of representatives,RepBranco,
Jill Tokuda,Hawaii 2,Democratic,no,House of representatives,jilltokuda ; tokudaforhawaii,
Tommy Waters,Hawaii 2,Democratic,no,House of representatives,NA,
Joe Akana,Hawaii 2,Republican,no,House of representatives,Joe_Akana,
Kaylee Peterson,Idaho 1,Democratic,no,House of representatives,kaylee4congress,yes
Russ Fulcher,Idaho 1,Republican,yes,House of representatives,RussFulcher ; RepRussFulcher,yes
Wendy Norman,Idaho 2,Democratic,no,House of representatives,NA,yes
Flint Christensen,Idaho 2,Republican,no,House of representatives,NA,no
Daniel Algiers Lucas Levy,Idaho 2,Republican,no,House of representatives,danalgierslevy,no
Chris Porter,Idaho 2,Republican,no,House of representatives,NA,no
Mike Simpson,Idaho 2,Republican,yes,House of representatives,MikeSimpson4ID ; CongMikeSimpson,yes
Bryan Smith,Idaho 2,Republican,no,House of representatives,NA,no
Kam Buckner,Illinois 1,Democratic,no,House of representatives,RepKamBuckner,
Stephanie Coleman,Illinois 1,Democratic,no,House of representatives,NA,
Marcus Evans,Illinois 1,Democratic,no,House of representatives,Repevans33,
Michelle A. Harris,Illinois 1,Democratic,no,House of representatives,AldermanHarris,
Nykea Pippion McGriff,Illinois 1,Democratic,no,House of representatives,Nykea4Congress,
Donna Miller,Illinois 1,Democratic,no,House of representatives,TheDonnaMiller,
Christian Mitchell,Illinois 1,Democratic,no,House of representatives,cljmitchell,
Robert Peters,Illinois 1,Democratic,no,House of representatives,Robert Peters,
Lamont Robinson,Illinois 1,Democratic,no,House of representatives,LamontJRobinson,
Bobby Rush,Illinois 1,Democratic,yes,House of representatives,RepBobbyRush ; bobbyrushfor1st,
Flynn Rush,Illinois 1,Democratic,no,House of representatives,RushForChange,
Roderick Sawyer,Illinois 1,Democratic,no,House of representatives,RoderickTSawyer,
Elgie Sims,Illinois 1,Democratic,no,House of representatives,ElgieSims,
Kurt Summers,Illinois 1,Democratic,no,House of representatives,followkurt,
Eric Carlson,Illinois 1,Republican,no,House of representatives,EricCarlsonIL01,
Geno Young,Illinois 1,Republican,no,House of representatives,Geno4Congress,
Robin Kelly,Illinois 2,Democratic,yes,House of representatives,RepRobinKelly ; RobinLynneKelly,
Shane Cultra,Illinois 2,Republican,no,House of representatives,NA,
Ashley Ramos,Illinois 2,Republican,no,House of representatives,NA,
Iymen Chehade,Illinois 3,Democratic,no,House of representatives,iymen4congress,
Delia Ramirez,Illinois 3,Democratic,no,House of representatives,Delia4Congress,
Gilbert Villegas,Illinois 3,Democratic,no,House of representatives,gilbert36ward,
Justin Burau,Illinois 3,Republican,no,House of representatives,JustinBurau,
Jesús García,Illinois 4,Democratic,yes,House of representatives,ChuyForCongress ; RepChuyGarcia,
James Falakos,Illinois 4,Republican,no,House of representatives,FalakosCongress,
Raleigh Bowman,Illinois 5,Democratic,no,House of representatives,RaleighBowman,
Mike Quigley,Illinois 5,Democratic,yes,House of representatives,RepMikeQuigley,
Tommy Hanson,Illinois 5,Republican,no,House of representatives,Hansen4Congress,
Sean Casten,Illinois 6,Democratic,yes,House of representatives,SeanCasten ; RepCasten,
Charles Hughes,Illinois 6,Democratic,no,House of representatives,NA,
Marie Newman,Illinois 6,Democratic,yes,House of representatives,Marie4Congress ; RepMarieNewman,
Niki Conforti,Illinois 6,Republican,no,House of representatives,Niki_Conforti,
Rob Cruz,Illinois 6,Republican,no,House of representatives,cruzforil,
Gary Grasso,Illinois 6,Republican,no,House of representatives,GrassoNew6th,
Scott Kaspar,Illinois 6,Republican,no,House of representatives,Kaspar4Congress,
Catherine O'Shea,Illinois 6,Republican,no,House of representatives,NA,
John Ostman,Illinois 6,Republican,no,House of representatives,NA,
Keith Pekau,Illinois 6,Republican,no,House of representatives,KeithPekau,
Kina Collins,Illinois 7,Democratic,no,House of representatives,KinaCollinsIL,
Danny K. Davis,Illinois 7,Democratic,yes,House of representatives,DannyKDavis7th ; RepDannyDavis,
TBD,Illinois 7,Republican,no,House of representatives,,
Junaid Ahmed,Illinois 8,Democratic,no,House of representatives,JunaidForUs,
Raja Krishnamoorthi,Illinois 8,Democratic,yes,House of representatives,CongressmanRaja ; RajaForCongress,
Chad Koppie,Illinois 8,Republican,no,House of representatives,ChadKoppie,
Peter Kopsaftis,Illinois 8,Republican,no,House of representatives,NA,
Phillip Wood,Illinois 8,Republican,no,House of representatives,NA,
Jan Schakowsky,Illinois 9,Democratic,yes,House of representatives,janschakowsky ; RepSchakowsky,
John Elleson,Illinois 9,Republican,no,House of representatives,JohnElleson,
Brad Schneider,Illinois 10,Democratic,yes,House of representatives,Schneider4IL10 ; RepSchneider,
Joseph Severino,Illinois 10,Republican,no,House of representatives,Joe_Severino,
Bill Foster,Illinois 11,Democratic,yes,House of representatives,Foster4Congress ; RepBillFoster,
Mark Carroll,Illinois 11,Republican,no,House of representatives,CarrollForIL11,
Jerry Evans,Illinois 11,Republican,no,House of representatives,JerryEvans2020,
Susan Hathaway-Altman,Illinois 11,Republican,no,House of representatives,susan4congress,
Andrea Heeg,Illinois 11,Republican,no,House of representatives,andreaheeg,
Catalina Lauf,Illinois 11,Republican,no,House of representatives,CatalinaLauf,
Cassandra Tanner Miller,Illinois 11,Republican,no,House of representatives,Cassandra_IL11 ; CTMIL11,
Homer Markel,Illinois 12,Democratic,no,House of representatives,chipforcongress,
Joshua Qualls,Illinois 12,Democratic,no,House of representatives,Quallscongress,
Mike Bost,Illinois 12,Republican,yes,House of representatives,BostForCongress ; RepBost,
Nikki Budzinski,Illinois 13,Democratic,no,House of representatives,Nikki4Congress,
David Palmer,Illinois 13,Democratic,no,House of representatives,PalmerforIL,
Regan Deering,Illinois 13,Republican,no,House of representatives,Regan4Congress,
Matt Hausman,Illinois 13,Republican,no,House of representatives,MattHausman13,
Terry Martin,Illinois 13,Republican,no,House of representatives,TerryMartin2022,
Jesse Reising,Illinois 13,Republican,no,House of representatives,Jesse_Reising,
Lauren Underwood,Illinois 14,Democratic,yes,House of representatives,LaurenUnderwood ; RepUnderwood,
Scott Gryder,Illinois 14,Republican,no,House of representatives,Gryder4Congress,
Michael Koolidge,Illinois 14,Republican,no,House of representatives,koolidge,
Jack Lombardi,Illinois 14,Republican,no,House of representatives,JackLombardi,
James Marter,Illinois 14,Republican,no,House of representatives,marter4congress,
Jaime Milton,Illinois 14,Republican,no,House of representatives,NA,
Paul Lange,Illinois 15,Democratic,no,House of representatives,NA,
Rodney Davis,Illinois 15,Republican,yes,House of representatives,ElectRodney ; RodneyDavis,
Mary Miller,Illinois 15,Republican,yes,House of representatives,Miller_Congress ; RepMaryMiller,
TBD,Illinois 16,Democratic,no,House of representatives,NA,
Darin LaHood,Illinois 16,Republican,yes,House of representatives,RepLaHood ; DarinLaHoodIL,
Joanne Guillemette,Illinois 16,Republican,no,House of representatives,JoGuillemette16,
Walt Peters,Illinois 16,Republican,no,House of representatives,WaltforCongress,
Michael Rebresh,Illinois 16,Republican,no,House of representatives,RebreshCongress,
Jonathan Logemann,Illinois 17,Democratic,no,House of representatives,MrLogemann,
Jacqueline McGowa,Illinois 17,Democratic,no,House of representatives,jackieforIL,
Angie Normoyle,Illinois 17,Democratic,no,House of representatives,AngieNormoyle,
Eric Sorensen,Illinois 17,Democratic,no,House of representatives,ERICSORENSEN,
Litesa Wallace,Illinois 17,Democratic,no,House of representatives,Litesa4Congress,
Marsha Williams,Illinois 17,Democratic,no,House of representatives,CongressMarsha,
Charlie Hemlick,Illinois 17,Republican,no,House of representatives,NA,
Esther Joy King,Illinois 17,Republican,no,House of representatives,esther4congress,
Frank J. Mrvan,Indiana 1,Democratic,yes,House of representatives,RepMrvan ,yes
Jennifer-Ruth Green,Indiana 1,Republican,no,House of representatives,JenRuthGreen,yes
Martin Lucas,Indiana 1,Republican,no,House of representatives,votelucas2022,no
Blair Milo,Indiana 1,Republican,no,House of representatives,BlairMiloLP,no
Paul Steury,Indiana 2,Democratic,no,House of representatives,paulforall22,yes
Jackie Walorski,Indiana 2,Republican,yes,House of representatives,RepWalorski ; jackiewalorski,yes
Gary Snyder,Indiana 3,Democratic,no,House of representatives,SnyderforIN03,yes
Jim Banks,Indiana 3,Republican,yes,House of representatives,RepJimBanks ; Jim_Banks,yes
Roger Day,Indiana 4,Democratic,no,House of representatives,DayForCongress,yes
Jim Baird,Indiana 4,Republican,yes,House of representatives,RepJimBaird,yes
Jeanine Lee Lake,Indiana 5,Democratic,no,House of representatives,JeannineLeeLake,yes
Matthew Hall,Indiana 5,Democratic,no,House of representatives,matthallcd5,no
Victoria Spartz,Indiana 5,Republican,yes,House of representatives,RepSpartz ; Victoria_Spartz,yes
Cinde Wirth,Indiana 6,Democratic,no,House of representatives,cwirth4congress,yes
Greg Pence,Indiana 6,Republican,yes,House of representatives,GregPenceIN ; RepGregPence,yes
André Carson,Indiana 7,Democratic,yes,House of representatives,RepAndreCarson ; Andre4Congress,yes
Angela Grabovsky,Indiana 7,Republican,no,House of representatives,angelaforIN7,yes
RayMcCormic4Con,Indiana 8,Democratic,no,House of representatives,RayMcCormic4Con,yes
Larry Bucshon,Indiana 8,Republican,yes,House of representatives,RepLarryBucshon ; DrLarryBucshon,yes
Matthew Fyfe,Indiana 9,Democratic,no,House of representatives,Hoosiers4Fyfe,yes
Isak Nti Asare,Indiana 9,Democratic,no,House of representatives,IsakNti,no
D. Liam Dorris,Indiana 9,Democratic,no,House of representatives,DLiamDorris,no
Erin Houchin,Indiana 9,Republican,no,House of representatives,Erin_Houchin,yes
Jim Baker,Indiana 9,Republican,no,House of representatives,jimbakercre,no
Stu Barnes-Israel,Indiana 9,Republican,no,House of representatives,stuforindiana,no
Dan Heiwig,Indiana 9,Republican,no,House of representatives,Heiwig2022,no
Eric Schansberg,Indiana 9,Republican,no,House of representatives,EricSchansberg,no
Mike Sodrel,Indiana 9,Republican,no,House of representatives,SodrelMike,no
Christina Bohannan,Iowa 1,Democratic,no,House of representatives,BohannanIowa,
Mariannette Miller-Meeks,Iowa 1,Republican,yes,House of representatives,millermeeks ; RepMMM,
Liz Mathis,Iowa 2,Democratic,no,House of representatives,LizMathis1,
Ashley Hinson,Iowa 2,Republican,yes,House of representatives,hinsonashley ; RepAshleyHinso,
Cindy Axne,Iowa 3,Democratic,yes,House of representatives,Axne4Congress ; RepCindyAxne,
Nicole Hasso,Iowa 3,Republican,no,House of representatives,NicoleHasso,
Zach Nunn,Iowa 3,Republican,no,House of representatives,NunnForCongress,
Gary Leffler,Iowa 3,Republican,no,House of representatives,NA,
Ryan Melton,Iowa 4,Democratic,no,House of representatives,melton4iowa,
Randy Feenstra,Iowa 4,Republican,yes,House of representatives,RandyFeenstra ; RepFeenstra,
TBD,Kansas 1,Democratic,no,House of representatives,NA,
Tracey Mann,Kansas 1,Republican,yes,House of representatives,RepMann,
Patrick Schmidt,Kansas 2,Democratic,no,House of representatives,PatrickforKS,
Jake LaTurner,Kansas 2,Republican,yes,House of representatives,JakeLaTurner ; RepLaTurner,
Sharice Davids,Kansas 3,Democratic,yes,House of representatives,sharicedavids ; RepDavids,
Amanda Adkins,Kansas 3,Republican,no,House of representatives,amanda_adkins,
John McCaughrean,Kansas 3,Republican,no,House of representatives,NA,
